row_index,country,date,file_name,link,region,story,title,country_simple,story_title,story_link,lat,lng,Category
11,Myanmar,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140520175831-kqjcs/?source=fiOtherNews3,East Asia and Pacific,"Deteriorating living conditions and a looming rainy season are increasing the risk of waterborne diseases in the sprawling, squalid displacement camps in western Myanmar where tens of thousands of people live, the United Nations warned on Tuesday. An increasing number of water points and latrines in the camps in Rakhine State housing mainly stateless Rohingya Muslims are not working, the U.N. said in its latest report. Medical staff from aid agencies were doing about 18,000 consultations a month in displacement camps and villages until February, but the number dropped to about 6,000 in April, the report said.",U.N. warns of disease risk in western Myanmar displacement camps,myanmar,U.N. warns of disease risk in western Myanmar displacement camps,Reuters - http://www.trust.org/item/20140520175831-kqjcs/?source=fiOtherNews3,21.913965,95.956223,disaster
12,Thailand,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,BBC - http://www.bbc.com/news/world-asia-27517591,East Asia and Pacific,"Thailand's army chief has announced a coup d'etat, saying the military is taking control of government. In a televised statement, the army chief said the military would restore order and enact political reforms.It came after two days of inconclusive talks by the main political factions. The army sealed off the talks venue and took the leaders away.  Thailand has been in political turmoil for months. On Tuesday the army imposed martial law. The army is to send troops and vehicles to escort protesters away from rally sites, a senior army official told the Reuters news agency.",Thai army announces military coup,thailand,Thai army announces military coup,BBC - http://www.bbc.com/news/world-asia-27517591,15.870032,100.992541,disaster
13,Thailand,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://news.ph.msn.com/regional/thai-coup-leaders-ban-meetings-of-more-than-5-people-1,East Asia and Pacific,"Thailand's new military leaders on Thursday prohibited gatherings of more than five people at a time for ""political purposes"", after they seized power in a coup following months of turmoil marked by political protests. ""Under articles 8 and 11 of martial law, the National Peace and Order Maintaining Council prohibits gatherings of more than five people for political purposes,"" said an announcement by the military on national television. ""Anyone who violates the ban will be subject to a one-year jail term, 10,000 baht fine, or both.""",Coup leaders ban meetings of more than 5 people,thailand,Coup leaders ban meetings of more than 5 people,AFP - http://news.ph.msn.com/regional/thai-coup-leaders-ban-meetings-of-more-than-5-people-1,15.870032,100.992541,disaster
14,Kenya,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140522043159-ahb1q/?source=fiOtherNews3,Eastern and Southern Africa,"Kenya should stop rounding up vulnerable urban refugees and readmit those whose lives are at risk after being deported to Somalia, UNHCR said on Wednesday. In the last two months, Kenyan authorities have deported more than 300 people to Somalia in a bid to endattacksby militants carried out in retaliation for Kenyas military intervention into the war-torn neighbouring state. The principle of non-refoulement is a core tenet of customary international law, meaning that governments should not return people to countries where their life or freedom would be threatened. Somalis have faced an increasingly hostile environment in Kenya following a string of attacks on Kenyan soil by Somalia-based militant group al-Shabaab.",Stop illegal deportations and spare vulnerable refugees: UNHCR,kenya,Stop illegal deportations and spare vulnerable refugees: UNHCR,Reuters - http://www.trust.org/item/20140522043159-ahb1q/?source=fiOtherNews3,-0.023559,37.906193,disaster
15,Malawi,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://english.ahram.org.eg/NewsContent/2/9/101974/World/International/President-claims-serious-irregularities-in-Malawi-.aspx,Eastern and Southern Africa,"Malawi's President Joyce Banda said there had been ""serious irregularities"" in the conduct of this week's election, questioning the legitimacy and outcome of the highly-charged vote. Banda said the vote has seen ballot tampering, presiding officers arrested, people voting multiple times and the collapse of the computerised voter counting system. ""It has come to my attention that there (are) some serious irregularities in the counting and announcement of results in some parts of the country,"" she said calling for an ""immediate manual audit of the whole process"".",President claims 'serious irregularities' in vote,malawi,President claims 'serious irregularities' in vote,AFP - http://english.ahram.org.eg/NewsContent/2/9/101974/World/International/President-claims-serious-irregularities-in-Malawi-.aspx,-13.254308,34.301525,disaster
16,Malawi,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,BBC: http://www.bbc.com/news/world-africa-27515684,Eastern and Southern Africa,"Outgoing deputy Local Government Minister Godfrey Kamanya shot himself in his home, according to police. His spokesman denied reports that his suicide was linked to him apparently losing his parliamentary seat. Official results have not yet been declared in what was expected to be a tight presidential race. The electronic counting system has broken down in some areas and votes are being collated manually in these places.",Malawi's Godfrey Kamanya kills himself as results awaited,malawi,Malawi's Godfrey Kamanya kills himself as results awaited,BBC: http://www.bbc.com/news/world-africa-27515684,-13.254308,34.301525,disaster
17,Venezuela,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,LAHT - http://www.laht.com/article.asp?ArticleId=2240164&CategoryId=10717,Latin America and the Caribbean,"The US Senate Foreign Relations Committee has passed a bill that seeks to punish Venezuelan officials accused of human rights violations during protests that have left 42 dead in the country since they began in February. Only 2 of the 18 senators on the Committee voted against the bill, which passed by a vote of 13-2. The bill, S-2142 Venezuela Defense of Human Rights and Civil Society Act of 2014, now goes to the full Senate to be voted on. The bill would allow US President Barack Obama to freeze assets and ban US visits by any current or former Venezuelan government official responsible for ""directing significant acts of violence or serious human rights abuses against persons associated with the anti-government protests in Venezuela.""",US Senate Committee approves Venezuela sanctions,venezuela,US Senate Committee approves Venezuela sanctions,LAHT - http://www.laht.com/article.asp?ArticleId=2240164&CategoryId=10717,6.42375,-66.58973,disaster
18,Egypt,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Guardian - http://www.theguardian.com/society/2014/may/21/egyptian-doctor-fadl-trial-female-genital-mutilation-landmark-case,Middle East and North Africa,"A doctor is to stand trial in Egypt on charges of female genital mutilation/cutting (FGM/C) on Thursday, the first case of its kind in a country where FGM is illegal but widely accepted. Activists warned this week that the landmark case was just one small step towards eradicating the practice, as villagers openly promised to uphold the tradition and a local police chief said it was near-impossible to stamp out. Raslan Fadl, a doctor in a Nile delta village, is accused of killing 13-year-old schoolgirl Sohair al-Bata'a in a botched FGM/C operation last June. Sohair's father, Mohamed al-Bata'a, will also be charged with complicity in her death.",Egyptian doctor to stand trial for female genital mutilation/cutting in landmark case,egypt,Egyptian doctor to stand trial for female genital mutilation/cutting in landmark case,Guardian - http://www.theguardian.com/society/2014/may/21/egyptian-doctor-fadl-trial-female-genital-mutilation-landmark-case,26.820553,30.802498,disaster
19,Libya,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AP - http://abcnews.go.com/International/wireStory/libyas-renegade-general-gains-allies-23816193,Middle East and North Africa,"Islamist-led militias on Thursday streamed into the Libyan capital amid a standoff with fighters loyal to a renegade general whose offensive has won support from officials, diplomats and army units, but has also threatened to fragment the country further. The militias, known as Libya Central Shield, are composed of groups from the western city of Misrata. They are under the command of the country's chief of staff, who answers to parliament. The legislature has described the campaign by Gen. Khalifa Hifter as a coup. Witnesses in Tripoli said they saw Misrata militiamen take positions early on Thursday in army barracks in the city's south, near the airport highway.",Islamist-led militias deploy in capital,libya,Islamist-led militias deploy in capital,AP - http://abcnews.go.com/International/wireStory/libyas-renegade-general-gains-allies-23816193,26.3351,17.228331,disaster
20,Libya,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Al Jazeera - http://www.aljazeera.com/news/middleeast/2014/05/top-libyan-commander-joins-rebel-forces-2014521923299411.html,Middle East and North Africa,"The top commander of Libya's air force has joined the ranks of renegade general Khalifa Qassim Haftar, backing his ""Dignity Operation"" that targets religious hardliners, and adding to divisions in a country still reeling from political unrest since the 2011 revolt. Colonel Gomaa al-Abbani's announcement late on Tuesday is among a series of loyalty pledges made by military units and commanders to Haftar. The official Libyan news agency said on Wednesday that the Interior Ministry has also announced its support for Haftar's offensive, which the government has described as a coup attempt. In a bid to defuse the crisis, the Libyan cabinet has proposed the suspension of the parliament until fresh elections are held.",Top Libyan commander joins rebel forces,libya,Top Libyan commander joins rebel forces,Al Jazeera - http://www.aljazeera.com/news/middleeast/2014/05/top-libyan-commander-joins-rebel-forces-2014521923299411.html,26.3351,17.228331,disaster
21,Libya,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP - http://www.news24.com/Africa/News/Chinese-engineer-killed-in-Libyas-Benghazi-20140521,Middle East and North Africa,"A Chinese construction engineer has been killed by unidentified gunmen in Libya's restive second city Benghazi, medical and security sources said on 21 May. The 49-year-old was shot dead on 20 May just four days after an offensive led by a former rebel commander to purge the eastern city of Islamist militia left 79 people dead. ""Unidentified gunmen forced two other Chinese construction workers to show them the office of the site foreman and then went in and shot him several times,"" a security source said.",Chinese engineer killed in Benghazi,libya,Chinese engineer killed in Benghazi,AFP - http://www.news24.com/Africa/News/Chinese-engineer-killed-in-Libyas-Benghazi-20140521,26.3351,17.228331,disaster
22,State of Palestine,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AFP – http://www.dailystar.com.lb/News/Middle-East/2014/May-22/257416-current-palestinian-pm-to-head-new-unity-govt-source.ashx#axzz32S7sEvWy,Middle East and North Africa,"Current Palestinian premier Rami Hamdallah is to head the consensus government to be formed under a deal with Hamas to end seven years of rival administrations in the West Bank and Gaza, an official said Thursday. ""The government is nearly ready, and Rami Hamdallah will be prime minister,"" the official close to the reconciliation negotiations said. Hamdallah is the PM of the West Bank-based Palestinian Authority. Hamas has a rival PM in Gaza -- Ismail Haniya.",Current PM to head new unity govt,israel,Current PM to head new unity govt,AFP – http://www.dailystar.com.lb/News/Middle-East/2014/May-22/257416-current-palestinian-pm-to-head-new-unity-govt-source.ashx#axzz32S7sEvWy,31.046051,34.851612,disaster
23,Syria,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140522110259-431nx/?source=fiOtherNews2,Middle East and North Africa,"Tunnel bombs have not yet been used in Damascus, but residents fear they could reduce a whole neighbourhood of tower blocks to rubble and kill hundreds.",Damascenes fear Assad election will provoke rebel onslaught,syria,Damascenes fear Assad election will provoke rebel onslaught,Reuters - http://www.trust.org/item/20140522110259-431nx/?source=fiOtherNews2,34.802075,38.996815,disaster
24,Across ROSA,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Al Jazeera - http://www.aljazeera.com/news/asia/2014/05/south-asian-anti-corruption-bodies-lack-teeth-20145227201828421.html,South Asia,"Corruption-fighting agencies in South Asian countrieslack the power and independence to properly investigate politicians and officials for fraud entrenched in the region, a watchdog said. A report released by Berlin-based Transparency Internationalon Thursdaysaid that many agencies needed their government's consent to investigate suspected corruption cases, while others faced massive political interference during their investigations. ""The region is characterised by a vicious cycle in which a highly elitist and unaccountable political culture remains largely unchallenged because the very actors who can bring those in power to task are being systematically silenced,"" said Srirak Plipat,Transparency International Asia-Pacific director.",South Asian anti-corruption bodies lack teeth: TI,,South Asian anti-corruption bodies lack teeth: TI,Al Jazeera - http://www.aljazeera.com/news/asia/2014/05/south-asian-anti-corruption-bodies-lack-teeth-20145227201828421.html,0,0,disaster
25,Afghanistan,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Al Jazeera - http://www.aljazeera.com/news/asia/2014/05/eight-policemen-beheaded-afghanistan-201452152222355526.html,South Asia,"Armed men have killed at least 16 policemen in Afghanistan, beheading eight of them, according to officials, as security forces prepare to guard a second-round election. Villagers in the southern province of Zabul found the decapitated bodies of eight local policemen who were seized two weeks ago, deputy provincial governor Mohammad Jan Rassoulyar told the AFP news agency on Wednesday. In the country's northeast, officials said that an attack on several police checkpoints in Badakhshan province had left eight officers dead.",Eight policemen beheaded in Afghanistan,afghanistan,Eight policemen beheaded in Afghanistan,Al Jazeera - http://www.aljazeera.com/news/asia/2014/05/eight-policemen-beheaded-afghanistan-201452152222355526.html,33.93911,67.709953,disaster
26,Afghanistan,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Guardian - http://www.theguardian.com/world/2014/may/21/afghanistan-government-split-karzai-taliban-kabul,South Asia,"Afghanistan's government has suspended the three police special forces commanders responsible for securing the capital during crucial presidential elections, and plans to try them in a court martial for making illegal detentions and desecrating a mosque. The three men have also been accused of collaborating with US and British commandos to serve foreign rather than Afghan aims, although they will not be tried as spies, according to an official source with first-hand knowledge of events.",Afghanistan's government split as Karzai suspends special forces chiefs,afghanistan,Afghanistan's government split as Karzai suspends special forces chiefs,Guardian - http://www.theguardian.com/world/2014/may/21/afghanistan-government-split-karzai-taliban-kabul,33.93911,67.709953,disaster
27,India,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140522102920-ct5m0/?source=fiHeadlineStory,South Asia,"Indian police rescued 63 children and arrested 23 alleged traffickers at Old Delhi railway station in one the largest joint rescue operations between anti-trafficking and railway police and child rights groups, police and activists said on Thursday. The operation was launched after child rights groups reported receiving a tipoff that a group of traffickers and their victims were heading for the Indian capital by train from the northern town of Raxaul in Bihar state.",Anti-trafficking operation one of biggest in year,india,Anti-trafficking operation one of biggest in year,Reuters - http://www.trust.org/item/20140522102920-ct5m0/?source=fiHeadlineStory,20.593684,78.96288,disaster
28,Pakistan,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140521124413-c5oxc/?source=fiOtherNews3,South Asia,"Thousands of women, children and activists marched in Pakistan's volatile province of Baluchistan on Wednesday in a protest against a campaign by an extremist group to force schools to shut down across the region. Tanzeemul Islam-ul-Furqan (Organisation of Islam for the Koran), a little-known group that has been setting schools on fire and distributing threatening leaflets against girls' and Western-style education in Baluchistan, a vast province bordering Iran and Afghanistan. ""At least 35 private schools and 30 language centres have been shut down in the districts of Panjgur and Turbat for well over a week, but government schools are open,"" Mohammad Ayub, a local education official, told Reuters.",Extremist group forces schools to close in Pakistan's southwest,pakistan,Extremist group forces schools to close in Pakistan's southwest,Reuters - http://www.trust.org/item/20140521124413-c5oxc/?source=fiOtherNews3,30.375321,69.345116,disaster
29,Pakistan,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,AP - http://abcnews.go.com/International/wireStory/officials-pakistani-airstrikes-kill-60-militants-23807741,South Asia,"Pakistani warplanes and helicopters pounded militant hideouts near the Afghan border on 21 May, killing 60 fighters, the army said. The airstrikes mainly targeted Mir Ali, a town in the lawless tribal region of North Waziristan, the army said in a statement. It said ""60 hard-core terrorists"" including ""important commanders and foreigners"" were killed in the strikes, without providing further details, and that another 30 were wounded. One resident said the army had also been firing artillery rounds since early morning.",Airstrikes kill 60 Taliban,pakistan,Airstrikes kill 60 Taliban,AP - http://abcnews.go.com/International/wireStory/officials-pakistani-airstrikes-kill-60-militants-23807741,30.375321,69.345116,disaster
30,Mali,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Bloomberg – http://www.bloomberg.com/news/2014-05-22/mali-army-battles-to-retake-kidal-as-fighting-threatens-peace.html,West and Central Africa,"Mali government forces fled the northern city of Kidal yesterday after they were attacked by the National Movement for the Liberation of Azawad, or MNLA.  After several hours of fighting our defense forces, weakened by coordination and intelligence problems, had to retreat under heavy gunfire, the government said in a statement read on state TV late yesterday and published on the presidencys Facebook Inc. page. The army is regrouping itself, the situation is closely monitored by the highest authorities of the country. The MNLA, said it was in control of Kidal after repelling an attack by the army, according to the groups website. French and African peacekeepers remained neutral during the clashes, the organization said.",Mali army flees Kidal after MNLA seizes control,mali,Mali army flees Kidal after MNLA seizes control,Bloomberg – http://www.bloomberg.com/news/2014-05-22/mali-army-battles-to-retake-kidal-as-fighting-threatens-peace.html,17.570692,-3.996166,disaster
31,Nigeria,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Reuters - http://www.trust.org/item/20140521192533-qpm4b/?source=fiOtherNews2,West and Central Africa,"The United States has deployed about 80 military personnel to Chad in its effort to help find and return more than 200 Nigerian schoolgirls kidnapped by Islamist militant group Boko Haram, President Barack Obama said in a letter to Congress on Wednesday.  The U.S. government has also sent officials from the State Department and the FBI to Nigeria to help in the search.",U.S. deploys about 80 military personnel to help find Nigerian girls,nigeria,U.S. deploys about 80 military personnel to help find Nigerian girls,Reuters - http://www.trust.org/item/20140521192533-qpm4b/?source=fiOtherNews2,9.081999,8.675277,disaster
32,Nigeria,22/05/2014 15:52,DRAFT_UNICEF OPSCEN Brief - Thursday 22 May 2014.docx,Al Jazeera -  http://www.aljazeera.com/news/africa/2014/05/deadly-attack-follows-nigeria-twin-blasts-201452111362549812.html,West and Central Africa,"The attacks came hours after twin car bombs exploded at a crowded bus terminal and market in Nigeria's central city of Jos, killing at least 122 people.",Dozens killed in attacks on Nigerian villages.,nigeria,Dozens killed in attacks on Nigerian villages.,Al Jazeera -  http://www.aljazeera.com/news/africa/2014/05/deadly-attack-follows-nigeria-twin-blasts-201452111362549812.html,9.081999,8.675277,disaster
33,Across Regions,18/07/2014 14:03,UNICEF OPSCEN Brief - Friday 18 July 2014.docx,Reuters - http://www.trust.org/item/20140717140746-7aybr/?source=jt,General,"Targeted efforts to make food systems more efficient in key parts of the world could meet the basic calorie needs of 3 billion extra people and reduce the environmental footprint of agriculture without using additional land and water, researchers said on Thursday. In a study published in the journal Science, researchers from the University of Minnesota's Institute on the Environment looked at 17 key crops that produce 86 percent of the world's crop calories and account for most irrigation and fertiliser consumption, including rice, wheat and corn. Their main recommendations are to produce more food on existing farmland by increasing yields, reduce greenhouse gas emissions from agriculture, use less nutrients and water to grow crops, feed fewer crops to animals as fodder, and cut food waste.",Improved food systems could feed 3 billion more people  study,,Improved food systems could feed 3 billion more people  study,Reuters - http://www.trust.org/item/20140717140746-7aybr/?source=jt,0,0,disaster
34,Across Regions,18/07/2014 14:03,UNICEF OPSCEN Brief - Friday 18 July 2014.docx,Al Jazeera - http://www.aljazeera.com/news/europe/2014/07/scores-aids-experts-killed-malaysia-jet-2014718105856196768.html,General,"Scores of leading AIDS research experts were among those killed when a Malaysian passenger jet crashed in Ukraine after being allegedly shot down. Among them was Joep Lange, who researched the condition for more than 30 years and was considered a giant in the field, admired for his tireless advocacy for access to affordable AIDS drugs for HIV positive patients living in poor countries. As many as 100 people heading to the AIDS 2014 conference in Melbourne were on the doomed flight, Fairfax Media reported, including Lange, a former president of the International AIDS Society which organises the event. WHO said its media spokesman Glenn Thomas was also among those on board Flight MH17.",Scores of AIDS experts killed on Malaysia jet,,Scores of AIDS experts killed on Malaysia jet,Al Jazeera - http://www.aljazeera.com/news/europe/2014/07/scores-aids-experts-killed-malaysia-jet-2014718105856196768.html,0,0,disaster
35,Turkey,18/07/2014 14:03,UNICEF OPSCEN Brief - Friday 18 July 2014.docx,Reuters - http://www.trust.org/item/20140718060416-pqxqb,Central and Eastern Europe and the Commonwealth of Independent States,"Turkish riot police fired tear gas and water cannon on Friday to disperse protesters who pelted the Israeli consulate in Istanbul with stones in protest at Israel's ground offensive on Gaza. Demonstrators waved Turkish and Palestinian flags, chanted slogans and smashed consulate windows with sticks and rocks.",Turkish police fire tear gas to disperse anti-Israel protesters,turkey,Turkish police fire tear gas to disperse anti-Israel protesters,Reuters - http://www.trust.org/item/20140718060416-pqxqb,38.963745,35.243322,Political/social unrest
